Data Source,World Development Indicators,,Removed all years except indicated,,,,,,,
,,,,,,,,,,
Last Updated Date,6/30/21,,,,,,,,,
,,,,,,,,,,
Middle income,MIC,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
North Macedonia,MKD,GNI per capita (constant LCU),NY.GNP.PCAP.KN,184980.0691,192447.8617,196948.8659,200356.7856,202442.4819,207771.2126,197491.2128
Mali,MLI,GNI per capita (constant LCU),NY.GNP.PCAP.KN,228573.1981,239334.672,247832.9044,253324.1005,257616.0857,262837.6594,248253.1034
Malta,MLT,GNI per capita (constant LCU),NY.GNP.PCAP.KN,18939.18295,19918.86182,21220.37937,20612.06346,21551.03752,22544.76229,20797.71457
Myanmar,MMR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,1196771.3,1269250.88,1366317.079,1441082.697,1520800.741,1611977.98,1401033.446
Middle East & North Africa (excluding high income),MNA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Montenegro,MNE,GNI per capita (constant LCU),NY.GNP.PCAP.KN,4109.64675,4152.093832,4331.025256,4395.993649,4665.777455,4856.602619,4418.52326
Mongolia,MNG,GNI per capita (constant LCU),NY.GNP.PCAP.KN,4690688.939,4832259.874,4856174.287,4804370.273,4613235.114,5108768.865,4817582.892
Northern Mariana Islands,MNP,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Mozambique,MOZ,GNI per capita (constant LCU),NY.GNP.PCAP.KN,20163.52126,20889.93427,21499.08373,21627.42305,21585.58168,21938.59362,21284.02293
Mauritania,MRT,GNI per capita (constant LCU),NY.GNP.PCAP.KN,48586.31084,48830.10816,50549.60443,50242.47334,50738.89306,50843.89697,49965.21447
Mauritius,MUS,GNI per capita (constant LCU),NY.GNP.PCAP.KN,252381.9166,261346.3753,271659.314,281172.3602,295231.9498,310679.2547,278745.1951
Malawi,MWI,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Malaysia,MYS,GNI per capita (constant LCU),NY.GNP.PCAP.KN,34643.69407,36243.04138,37819.38452,38960.73257,40637.31567,41878.49681,38363.7775
North America,NAC,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Namibia,NAM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,58954.64321,61253.13825,62976.92474,60675.96128,59001.88035,57783.01235,60107.59336
